year,province,SAC_code,SAC_name,CTUID,fuel_type,fuel_type_description,value
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050008.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050009.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050009.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050009.00,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050010.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050010.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050010.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.01,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.01,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.01,ZEV,All zero-emission vehicles (BEV and PHEV),11
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.04,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.04,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050011.04,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050012.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050012.00,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050013.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050013.00,PHEV,Plug-in hybrid electric vehicles,21
